dataset,clients,rounds,samples_per_client,fedml,flower,nvflare
cifar100,2,5,1000,0.0,0.008661937713623,2.532
cifar100,2,5,2000,0.0,0.0081204414367675,2.756
cifar100,2,5,4000,0.0,0.010023546218872,3.3840000000000003
cifar100,2,10,1000,0.0,0.0090375423431396,2.84
cifar100,2,10,2000,0.0,0.0066821336746215,2.9219999999999997
cifar100,2,10,4000,0.001,0.0066081762313842,3.0650000000000004
cifar100,2,15,1000,0.0,0.0069979826609293,3.1853333333333333
cifar100,2,15,2000,0.0006666666666666,0.0066856225331624,2.9793333333333334
cifar100,2,15,4000,0.0006666666666666,0.0072684288024902,3.003333333333333
cifar100,5,5,1000,0.002,0.0118710994720458,3.168
cifar100,5,5,2000,0.0,0.012169075012207,4.042
cifar100,5,5,4000,0.002,0.0131244659423828,3.7760000000000007
cifar100,5,10,1000,0.001,0.0120709896087646,3.372
cifar100,5,10,2000,0.001,0.0117373466491699,3.928
cifar100,5,10,4000,0.001,0.0105620861053466,4.426
cifar100,5,15,1000,0.0006666666666666,0.0108772754669189,3.445333333333332
cifar100,5,15,2000,0.0013333333333333,0.0112574895222981,4.239999999999999
cifar100,5,15,4000,0.0006666666666666,0.0130556265513102,5.108
cifar100,8,5,1000,0.002,0.016636848449707,2.4560000000000004
cifar100,8,5,2000,0.002,0.0162580490112304,5.159999999999999
cifar100,8,5,4000,0.0,0.0202151775360107,3.444
cifar100,8,10,1000,0.0,0.0155127525329589,3.582
cifar100,8,10,2000,0.001,0.0158644199371337,3.786
cifar100,8,10,4000,0.002,0.0155209064483642,4.985000000000001
cifar100,8,15,1000,0.0013333333333333,0.0163958231608072,3.5973333333333324
cifar100,8,15,2000,0.0006666666666666,0.017529010772705,4.135333333333333
cifar100,8,15,4000,0.0006666666666666,0.0161542256673177,4.543999999999999
femnist,2,5,1000,0.002,0.0084978580474853,3.282000000000001
femnist,2,5,2000,0.0,0.0083343982696533,2.99
femnist,2,5,4000,0.002,0.0091404914855957,3.0839999999999996
femnist,2,10,1000,0.0,0.0078024387359619,2.942
femnist,2,10,2000,0.0,0.006626009941101,2.862
femnist,2,10,4000,0.0,0.0089872598648071,2.881
femnist,2,15,1000,0.0,0.0077327251434326,3.058666666666667
femnist,2,15,2000,0.0,0.0078603903452555,3.0726666666666658
femnist,2,15,4000,0.0006666666666666,0.0079083760579427,3.0306666666666664
femnist,5,5,1000,0.0,0.0125499248504638,3.22
femnist,5,5,2000,0.002,0.0125536918640136,4.5600000000000005
femnist,5,5,4000,0.0,0.0132073879241943,3.5680000000000005
femnist,5,10,1000,0.0,0.0126724004745483,3.4839999999999995
femnist,5,10,2000,0.0,0.0134751081466674,3.845
femnist,5,10,4000,0.001,0.0110626697540283,4.121
femnist,5,15,1000,0.0,0.0125932375590006,3.269333333333333
femnist,5,15,2000,0.002,0.0115624745686848,4.051333333333334
femnist,5,15,4000,0.0,0.0114918708801269,5.251333333333333
femnist,8,5,2000,0.002,0.0154541969299316,2.5799999999999996
femnist,8,5,4000,0.0,0.0189157009124755,2.564
femnist,8,10,1000,0.001,0.0140805482864379,3.532
femnist,8,10,2000,0.001,0.0175468444824218,4.515
femnist,8,10,4000,0.001,0.01811044216156,5.078
femnist,8,15,1000,0.0006666666666666,0.0150680383046468,3.770666666666667
femnist,8,15,2000,0.0006666666666666,0.0142141819000244,3.802
femnist,8,15,4000,0.0006666666666666,0.0166765848795572,3.5819999999999994
