dataset,clients,rounds,samples_per_client,fedml,flower,nvflare
cifar100,2,5,1000,13.0,16.0,17.990000000000002
cifar100,2,5,2000,15.0,14.0,16.98
cifar100,2,5,4000,15.99,16.0,19.97
cifar100,2,10,1000,16.5,11.5,17.979999999999997
cifar100,2,10,2000,15.0,11.0,16.490000000000002
cifar100,2,10,4000,14.5,12.0,11.995
cifar100,2,15,1000,12.666666666666666,16.333333333333332,17.316666666666663
cifar100,2,15,2000,15.663333333333332,9.333333333333334,16.643333333333327
cifar100,2,15,4000,14.333333333333334,15.666666666666666,16.31333333333333
cifar100,5,5,1000,15.196,16.4,14.8
cifar100,5,5,2000,14.396,13.6,15.595999999999998
cifar100,5,5,4000,14.8,16.0,17.991999999999997
cifar100,5,10,1000,15.198,13.8,15.993999999999998
cifar100,5,10,2000,15.398,11.2,17.596
cifar100,5,10,4000,14.6,13.4,15.398
cifar100,5,15,1000,16.0,13.733333333333333,16.126666666666665
cifar100,5,15,2000,15.333333333333334,13.2,16.264
cifar100,5,15,4000,15.462666666666667,16.0,17.192000000000007
cifar100,8,5,1000,15.7475,15.0,16.737499999999997
cifar100,8,5,2000,16.2475,13.5,16.5
cifar100,8,5,4000,15.75,12.75,15.0
cifar100,8,10,1000,14.625,14.875,16.87375
cifar100,8,10,2000,15.497500000000002,13.625,15.3725
cifar100,8,10,4000,14.87375,14.24875,15.872500000000002
cifar100,8,15,1000,14.915833333333332,15.0,15.830000000000004
cifar100,8,15,2000,15.24666666666667,14.666666666666666,15.830833333333334
cifar100,8,15,4000,15.748333333333337,16.166666666666668,15.164166666666668
femnist,2,5,1000,18.0,12.0,17.970000000000002
femnist,2,5,2000,14.0,12.0,15.960000000000004
femnist,2,5,4000,12.0,12.99,11.99
femnist,2,10,1000,15.495,10.5,17.474999999999998
femnist,2,10,2000,15.495,10.5,16.475
femnist,2,15,1000,15.0,12.333333333333334,16.98333333333333
femnist,2,15,2000,13.333333333333334,13.333333333333334,15.313333333333327
femnist,2,15,4000,12.666666666666666,14.0,17.313333333333333
femnist,5,5,1000,13.2,9.6,15.2
femnist,5,5,2000,14.0,11.6,16.396
femnist,5,10,1000,14.8,12.6,14.993999999999998
femnist,5,10,2000,14.598,12.198,16.392
femnist,5,10,4000,13.398,12.6,14.798
femnist,5,15,1000,13.997333333333332,11.866666666666667,15.465333333333335
femnist,5,15,2000,14.933333333333334,12.4,16.392
femnist,5,15,4000,15.732,12.666666666666666,16.395999999999997
femnist,8,5,2000,15.25,11.25,14.495
femnist,8,5,4000,14.25,11.75,15.2475
femnist,8,10,1000,14.12375,11.875,15.24875
femnist,8,10,4000,14.375,13.375,16.5
femnist,8,15,1000,15.914166666666668,11.333333333333334,16.080833333333334
femnist,8,15,2000,15.333333333333334,12.25,15.330833333333336
femnist,8,15,4000,15.083333333333334,14.25,15.914166666666668
