dataset,clients,rounds,samples_per_client,fedml,flower,nvflare
cifar100,2,5,1000,0.095,0.16,0.1
cifar100,2,5,2000,0.1825,0.195,0.215
cifar100,2,5,4000,0.2325,0.245,0.285
cifar100,2,10,1000,0.115,0.14,0.17
cifar100,2,10,2000,0.1825,0.185,0.21
cifar100,2,10,4000,0.2425,0.24625,0.275
cifar100,2,15,1000,0.14,0.17,0.14
cifar100,2,15,2000,0.21,0.1925,0.24
cifar100,2,15,4000,0.23125,0.2625,0.2775
cifar100,5,5,1000,0.116,0.172,0.14
cifar100,5,5,2000,0.197,0.232,0.21
cifar100,5,5,4000,0.2575,0.3105,0.31
cifar100,5,10,1000,0.142,0.204,0.19
cifar100,5,10,2000,0.236,0.258,0.27
cifar100,5,10,4000,0.2865,0.343,0.38
cifar100,5,15,1000,0.184,0.19,0.23
cifar100,5,15,2000,0.247,0.263,0.275
cifar100,5,15,4000,0.3095,0.333,0.3425
cifar100,8,5,1000,0.13125,0.18,0.13
cifar100,8,5,2000,0.185,0.235,0.22
cifar100,8,5,4000,0.265,0.333125,0.3025
cifar100,8,10,1000,0.20625,0.2325,0.22
cifar100,8,10,2000,0.218125,0.2775,0.26
cifar100,8,10,4000,0.30375,0.3375,0.3525
cifar100,8,15,1000,0.21625,0.25125,0.21
cifar100,8,15,2000,0.23,0.283125,0.275
cifar100,8,15,4000,0.3271875,0.35875,0.3675
femnist,2,5,1000,0.69,0.69,0.68
femnist,2,5,2000,0.8175,0.79,0.825
femnist,2,5,4000,0.78375,0.8175,0.815
femnist,2,10,1000,0.72,0.725,0.75
femnist,2,10,2000,0.78,0.8025,0.81
femnist,2,10,4000,0.78125,0.81125,0.81
femnist,2,15,1000,0.76,0.695,0.72
femnist,2,15,2000,0.78,0.795,0.8
femnist,2,15,4000,0.7775,0.785,0.795
femnist,5,5,1000,0.68,0.712,0.64
femnist,5,5,2000,0.752,0.788,0.78
femnist,5,5,4000,0.7845,0.8245,0.8075
femnist,5,10,1000,0.714,0.728,0.71
femnist,5,10,2000,0.77,0.791,0.79
femnist,5,10,4000,0.8035,0.83,0.8125
femnist,5,15,1000,0.72,0.756,0.68
femnist,5,15,2000,0.786,0.789,0.755
femnist,5,15,4000,0.8115,0.8175,0.82
femnist,8,5,1000,0.70125,0.755,0.65
femnist,8,5,2000,0.77125,0.805,0.745
femnist,8,5,4000,0.7921875,0.8353125,0.83
femnist,8,10,1000,0.74375,0.79875,0.75
femnist,8,10,2000,0.78875,0.82375,0.81
femnist,8,10,4000,0.813125,0.8465625,0.8575
femnist,8,15,1000,0.76375,0.79,0.78
femnist,8,15,2000,0.80625,0.824375,0.81
femnist,8,15,4000,0.8203125,0.8446875,0.845
