dataset,clients,rounds,samples_per_client,fedml,flower,nvflare
cifar100,2,5,1000,731.979296875,679.65703125,687.159765625
cifar100,2,5,2000,755.78046875,689.642578125,614.55625
cifar100,2,5,4000,760.900390625,717.682421875,634.980078125
cifar100,2,10,1000,738.766796875,663.4041015625,598.940234375
cifar100,2,10,2000,763.487890625,687.006640625,621.262109375
cifar100,2,10,4000,785.53046875,719.682421875,636.064453125
cifar100,2,15,1000,753.21484375,693.8014322916666,603.9239583333333
cifar100,2,15,2000,776.5608072916667,684.5966145833333,615.6430989583333
cifar100,2,15,4000,792.1829427083334,732.5778645833333,632.183203125
cifar100,5,5,1000,734.214375,688.4284375,597.1040625
cifar100,5,5,2000,757.04921875,707.46578125,608.85609375
cifar100,5,5,4000,768.4584375,727.950625,629.6371875
cifar100,5,10,1000,747.30125,691.139375,593.166484375
cifar100,5,10,2000,768.03953125,704.598046875,616.642734375
cifar100,5,10,4000,781.899921875,737.628359375,633.845234375
cifar100,5,15,1000,754.4964583333333,697.54671875,600.37421875
cifar100,5,15,2000,780.871875,716.5325,617.22703125
cifar100,5,15,4000,793.923125,744.8203125,636.79953125
cifar100,8,5,1000,730.98662109375,688.32138671875,595.98525390625
cifar100,8,5,2000,755.26181640625,704.90126953125,611.31650390625
cifar100,8,5,4000,768.63310546875,721.2837890625,629.926953125
cifar100,8,10,1000,747.2966796875,706.870556640625,597.45771484375
cifar100,8,10,2000,772.981201171875,723.343115234375,615.8427734375
cifar100,8,10,4000,783.630322265625,743.170361328125,633.75166015625
cifar100,8,15,1000,750.7337565104167,712.70478515625,598.83662109375
cifar100,8,15,2000,780.3602213541667,729.9828125,617.0277994791667
cifar100,8,15,4000,789.8693684895833,752.6428385416667,632.7841471354167
femnist,2,5,1000,961.0484375,902.15625,840.374609375
femnist,2,5,2000,943.828125,906.657421875,809.502734375
femnist,2,5,4000,945.548828125,911.67890625,808.083984375
femnist,2,10,1000,954.9943359375,905.612890625,816.9423828125
femnist,2,10,2000,954.9873046875,906.1392578125,808.8482421875
femnist,2,10,4000,959.706640625,923.4326171875,807.3240234375
femnist,2,15,1000,966.3643229166668,922.459375,816.4734375
femnist,2,15,2000,968.0270833333332,923.2334635416668,812.2763020833333
femnist,2,15,4000,966.8149739583332,933.63828125,821.55390625
femnist,5,5,1000,942.77828125,906.6034375,812.165
femnist,5,5,2000,943.03265625,911.84671875,812.33453125
femnist,5,5,4000,942.75296875,924.368125,814.389375
femnist,5,10,1000,958.789296875,927.11546875,809.581796875
femnist,5,10,2000,953.845546875,926.190390625,813.439765625
femnist,5,10,4000,953.591953125,932.95078125,813.993671875
femnist,5,15,1000,966.3420833333332,930.35984375,813.0418229166667
femnist,5,15,2000,966.8550520833334,933.3811979166668,819.9750520833334
femnist,5,15,4000,970.6159895833332,940.3915104166666,817.0640625
femnist,8,5,1000,942.9388671875,912.4439453125,844.85830078125
femnist,8,5,2000,943.8396484375,910.80537109375,810.83623046875
femnist,8,5,4000,946.590625,918.28623046875,815.8580078125
femnist,8,10,1000,958.305078125,929.3349609375,814.625
femnist,8,10,2000,953.334912109375,938.63662109375,815.560546875
femnist,8,10,4000,964.417236328125,948.070166015625,818.92822265625
femnist,8,15,1000,970.6175130208334,936.0003255208334,814.39208984375
femnist,8,15,2000,967.4985026041668,943.6807291666668,813.8527018229166
femnist,8,15,4000,972.9944986979168,952.2506184895832,812.83974609375
